Epoch,Training Loss,Validation Loss
1,0.027703447,0.14702104
2,0.0052688206,0.0064489935
3,0.003724262,0.0033545853
4,0.0035179579,0.0038968017
5,0.0029959392,0.0033951718
6,0.002724129,0.0023682704
7,0.002679573,0.002204423
8,0.0022264977,0.0024809255
9,0.0021925436,0.001802039
10,0.0023098455,0.0025098412
11,0.0020408707,0.001705543
12,0.0019608547,0.0015076855
13,0.0018392499,0.0025394869
14,0.0017258871,0.0015127026
15,0.0016156065,0.0012663956
16,0.0015215343,0.0016187035
17,0.001643935,0.0012247812
18,0.0017011194,0.0012544486
19,0.0016895899,0.0016982578
20,0.0015019618,0.0012278529
