alpha,beta_1,level_2,Epoch 1,Epoch 2
0.3,0.3,g_real2monet_loss_train,659.411,659.08997
0.3,0.3,g_monet2real_loss_train,659.38055,659.08356
0.3,0.3,d_real_loss_train,6.98699,1.1852679
0.3,0.3,d_monet_loss_train,18.961086,1.6049566
0.3,0.3,g_real2monet_loss_val,686.45746,686.13403
0.3,0.3,g_monet2real_loss_val,686.4267,686.12756
0.3,0.3,d_real_loss_val,6.5708165,1.1206608
0.3,0.3,d_monet_loss_val,20.102404,1.5638595
0.3,0.5,g_real2monet_loss_train,659.45935,659.0391
0.3,0.5,g_monet2real_loss_train,659.38324,659.0519
0.3,0.5,d_real_loss_train,10.856017,0.95039296
0.3,0.5,d_monet_loss_train,7.07082,5.516692
0.3,0.5,g_real2monet_loss_val,686.5112,686.0834
0.3,0.5,g_monet2real_loss_val,686.4321,686.0957
0.3,0.5,d_real_loss_val,10.771343,0.9205303
0.3,0.5,d_monet_loss_val,6.977045,5.656804
