Epoch,Gen R2M Loss Train,Gen M2R Loss Train,Disc Real Loss Train,Disc Monet Loss Train,Gen R2M Loss Eval,Gen M2R Loss Eval,Disc Real Loss Eval,Disc Monet Loss Eval
2,0.8761534,0.6018626,0.03771734,0.023870505,2.101792573928833,1.1979446411132812,2.814213752746582,7.479439735412598
4,0.23352088,0.23413438,0.003477461,0.002013352,0.7713610529899597,0.6865876317024231,8.597004890441895,7.750422954559326
6,0.16292424,0.16752161,0.0019766148,0.0010541665,0.6544727087020874,0.6236822605133057,8.289937019348145,5.436679840087891
8,0.14155099,0.14466974,0.0015193253,0.0006558838,0.5945506691932678,0.5526517629623413,9.324780464172363,6.058220863342285
10,0.12083063,0.1229074,0.00088757055,0.000509909,0.6026625633239746,0.5279300212860107,9.206951141357422,4.806555271148682
12,0.106928274,0.10867527,0.00071945426,0.0003191415,0.5718005299568176,0.501532793045044,9.335379600524902,4.894117832183838
14,2.992568,0.16324356,0.0009942647,0.8805137,2.6375062465667725,1.4792439937591553,10.626667976379395,17.112022399902344
16,0.6570603,0.6688057,0.012529012,0.0065149833,0.7743105292320251,0.7837806344032288,7.97435998916626,6.214406967163086
18,0.4631106,0.4523668,0.0035568136,0.0029544635,0.6566622853279114,0.6374056339263916,9.396607398986816,6.612324237823486
20,0.32204106,0.31765878,0.0020714044,0.0023633768,0.5623356699943542,0.5619041919708252,9.042975425720215,7.980289936065674
